Iteration,Potential_Customers,Actual_Customers,Total_Spending
966,8,3,1552.6397735572523
967,5,2,1085.5277909704469
968,5,4,1762.3403646669376
969,3,2,1096.2292327721382
970,10,6,2840.8393642346664
971,5,3,1287.798144421698
972,12,10,4397.7687123157275
973,5,4,2326.929105176864
974,7,5,2793.5779781467345
975,6,5,2525.472837590381
976,8,3,1374.0583212978959
977,12,8,4063.818074499497
978,8,6,3021.8115286358866
979,8,7,3640.1607636802946
980,7,2,996.9750343370504
981,6,5,2444.4080220151354
982,5,4,1746.043717271874
983,3,1,394.18535687055885
984,12,6,2765.159221831297
985,7,3,1261.6058748940843
986,7,4,2100.0496738549464
987,6,2,978.7765205152988
988,6,3,1557.4628157959892
989,7,5,2097.017294481706
990,10,8,4098.2369612191305
991,3,1,593.3422954475864
992,5,3,1737.7243764092802
993,3,1,327.378603804211
994,8,5,2826.0501029162238
995,7,2,1104.423104993211
996,3,2,1151.8769692091196
997,6,6,2837.2768363759997
998,6,4,2103.0956675334237
999,7,3,1525.7684908429578
1000,6,4,1745.7743597732012
